t,x,xHat
-100,-100,-93.75
-99,-99,-93.75
-98,-98,-93.75
-97,-97,-93.75
-96,-96,-93.75
-95,-95,-93.75
-94,-94,-93.75
-93,-93,-93.75
-92,-92,-93.75
-91,-91,-93.75
-90,-90,-93.75
-89,-89,-93.75
-88,-88,-93.75
-87,-87,-81.25
-86,-86,-81.25
-85,-85,-81.25
-84,-84,-81.25
-83,-83,-81.25
-82,-82,-81.25
-81,-81,-81.25
-80,-80,-81.25
-79,-79,-81.25
-78,-78,-81.25
-77,-77,-81.25
-76,-76,-81.25
-75,-75,-68.75
-74,-74,-68.75
-73,-73,-68.75
-72,-72,-68.75
-71,-71,-68.75
-70,-70,-68.75
-69,-69,-68.75
-68,-68,-68.75
-67,-67,-68.75
-66,-66,-68.75
-65,-65,-68.75
-64,-64,-68.75
-63,-63,-68.75
-62,-62,-56.25
-61,-61,-56.25
-60,-60,-56.25
-59,-59,-56.25
-58,-58,-56.25
-57,-57,-56.25
-56,-56,-56.25
-55,-55,-56.25
-54,-54,-56.25
-53,-53,-56.25
-52,-52,-56.25
-51,-51,-56.25
-50,-50,-43.75
-49,-49,-43.75
-48,-48,-43.75
-47,-47,-43.75
-46,-46,-43.75
-45,-45,-43.75
-44,-44,-43.75
-43,-43,-43.75
-42,-42,-43.75
-41,-41,-43.75
-40,-40,-43.75
-39,-39,-43.75
-38,-38,-43.75
-37,-37,-31.25
-36,-36,-31.25
-35,-35,-31.25
-34,-34,-31.25
-33,-33,-31.25
-32,-32,-31.25
-31,-31,-31.25
-30,-30,-31.25
-29,-29,-31.25
-28,-28,-31.25
-27,-27,-31.25
-26,-26,-31.25
-25,-25,-18.75
-24,-24,-18.75
-23,-23,-18.75
-22,-22,-18.75
-21,-21,-18.75
-20,-20,-18.75
-19,-19,-18.75
-18,-18,-18.75
-17,-17,-18.75
-16,-16,-18.75
-15,-15,-18.75
-14,-14,-18.75
-13,-13,-18.75
-12,-12,-6.25
-11,-11,-6.25
-10,-10,-6.25
-9,-9,-6.25
-8,-8,-6.25
-7,-7,-6.25
-6,-6,-6.25
-5,-5,-6.25
-4,-4,-6.25
-3,-3,-6.25
-2,-2,-6.25
-1,-1,-6.25
0,0,6.25
1,1,6.25
2,2,6.25
3,3,6.25
4,4,6.25
5,5,6.25
6,6,6.25
7,7,6.25
8,8,6.25
9,9,6.25
10,10,6.25
11,11,6.25
12,12,6.25
13,13,18.75
14,14,18.75
15,15,18.75
16,16,18.75
17,17,18.75
18,18,18.75
19,19,18.75
20,20,18.75
21,21,18.75
22,22,18.75
23,23,18.75
24,24,18.75
25,25,31.25
26,26,31.25
27,27,31.25
28,28,31.25
29,29,31.25
30,30,31.25
31,31,31.25
32,32,31.25
33,33,31.25
34,34,31.25
35,35,31.25
36,36,31.25
37,37,31.25
38,38,43.75
39,39,43.75
40,40,43.75
41,41,43.75
42,42,43.75
43,43,43.75
44,44,43.75
45,45,43.75
46,46,43.75
47,47,43.75
48,48,43.75
49,49,43.75
50,50,56.25
51,51,56.25
52,52,56.25
53,53,56.25
54,54,56.25
55,55,56.25
56,56,56.25
57,57,56.25
58,58,56.25
59,59,56.25
60,60,56.25
61,61,56.25
62,62,56.25
63,63,68.75
64,64,68.75
65,65,68.75
66,66,68.75
67,67,68.75
68,68,68.75
69,69,68.75
70,70,68.75
71,71,68.75
72,72,68.75
73,73,68.75
74,74,68.75
75,75,81.25
76,76,81.25
77,77,81.25
78,78,81.25
79,79,81.25
80,80,81.25
81,81,81.25
82,82,81.25
83,83,81.25
84,84,81.25
85,85,81.25
86,86,81.25
87,87,81.25
88,88,93.75
89,89,93.75
90,90,93.75
91,91,93.75
92,92,93.75
93,93,93.75
94,94,93.75
95,95,93.75
96,96,93.75
97,97,93.75
98,98,93.75
99,99,93.75
